종목코드,종목명
000010,조흥은행
000020,동화약품
000030,우리은행
000050,경방
000060,메리츠화재
000070,삼양홀딩스
000080,하이트진로
000100,유한양행
000120,CJ대한통운
000140,하이트진로홀딩스
000150,두산
000180,성창기업
000210,DL
000230,일동홀딩스
000240,한국앤컴퍼니
000270,기아
000320,디피아이홀딩스
000390,삼화페인트
000430,대원강업
000480,조선내화
000640,동아쏘시오홀딩스
000660,SK하이닉스
000670,영풍
000700,한진해운홀딩스
000720,현대건설
000810,삼성화재
000830,삼성물산
000880,한화
000970,한국주철관
000990,DB하이텍
001020,페이퍼코리아
001040,CJ
001060,JW중외제약
001120,LX인터내셔널
001130,대한제분
001210,금호전기
001230,동국홀딩스
001300,제일모직
001370,FnC코오롱
001430,세아베스틸지주
001440,대한전선
001450,현대해상
001510,SK증권
001520,동양
001570,금양
001630,종근당홀딩스
001680,대상
001740,SK네트웍스
001780,알루코
001790,대한제당
001800,오리온홀딩스
001830,동부일렉트로닉스
001940,KISCO홀딩스
002000,한국유리
002020,코오롱
002030,아세아시멘트
002240,고려제강
002270,롯데푸드
002300,한국제지
002350,넥센타이어
002380,KCC
002390,한독약품
002540,현대페스
002620,제일파마홀딩스
002630,오리엔트바이오
002710,TCC스틸
002790,아모레G
002860,하나은행
002960,한국쉘석유
002990,금호산업
003000,부광약품
003030,세아제강지주
003050,넥상스코리아
003090,대웅
003120,일성신약
003160,디아이
003190,알앤엘바이오
003200,일신방직
003230,삼양식품
003240,태광산업
003300,한일홀딩스
003410,쌍용C&E
003450,현대증권
003480,한진중공업홀딩스
003490,대한항공
003520,영진약품
003540,대신증권
003550,LG
003570,S&T중공업
003600,SK
003620,KG모빌리티
003640,유니온스틸
003660,고려시멘트
003670,포스코퓨처엠
003690,코리안리
003830,대한화섬
003850,보령
003920,남양유업
003940,삼양제넥스
003960,대림수산
004000,롯데정밀화학
004010,롯데미도파
004020,현대제철
004130,대덕GDS
004150,한솔홀딩스
004170,신세계
004230,세신
004370,농심
004430,송원산업
004490,세방전지
004560,BNG스틸
004700,조광피혁
004710,한솔테크닉스
004800,효성
004830,덕성
004890,동일산업
004940,외환은행
004980,성신양회
004990,롯데지주
005010,휴스틸
005070,코스모신소재
005090,삼광글라스
005180,빙그레
005250,녹십자홀딩스
005270,대구은행
005280,부산은행
005300,롯데칠성
005380,현대차
005420,코스모화학
005440,현대지에프홀딩스
005490,POSCO홀딩스
005500,삼진제약
005610,SPC삼립
005680,삼영전자
005690,파미셀
005740,크라운해태홀딩스
005810,풍산홀딩스
005830,DB손해보험
005850,에스엘
005870,휴니드
005930,삼성전자
005940,NH투자증권
005950,이수화학
006040,동원산업
006110,삼아알미늄
006120,SK디스커버리
006200,KEC홀딩스
006250,극동전선
006260,LS
006280,녹십자
006360,GS건설
006380,카프로
006390,한일현대시멘트
006400,삼성SDI
006600,동신제약
006650,대한유화
006660,삼성공조
006800,미래에셋증권
006840,AK홀딩스
007070,GS리테일
007190,이엔페이퍼
007210,벽산
007310,오뚜기
007340,디티알오토모티브
007570,일양약품
007660,이수페타시스
007690,국도화학
007700,F&F홀딩스
007810,코리아써키트
007860,서연
008000,도레이케미칼
008040,동아원
008060,대덕
008320,한국기술산업
008350,남선알미늄
008490,서흥
008560,메리츠증권
008670,굿모닝신한증권
008730,율촌화학
008770,호텔신라
008900,티이씨앤코
008930,한미사이언스
008970,동양철관
009080,퍼시픽글라스
009150,삼성전기
009200,무림페이퍼
009240,한샘
009270,신원
009280,다함이텍
009290,광동제약
009410,태영건설
009420,한올바이오파마
009440,KC그린홀딩스
009540,HD한국조선해양
009580,무림P&P
009680,모토닉
009720,전기초자
009830,한화솔루션
009900,명신산업
009970,영원무역홀딩스
010060,OCI홀딩스
010120,"LS ELECTRIC"
010130,고려아연
010140,삼성중공업
010520,현대하이스코
010620,HD현대미포
010690,화신
010770,평화홀딩스
010780,아이에스동서
010820,퍼스텍
010950,S-Oil
011000,VGX인터
011020,코오롱유화
011070,LG이노텍
011090,에넥스
011170,롯데케미칼
011200,HMM
011210,현대위아
011400,케이씨오에너지
011780,금호석유
011790,SKC
011810,STX
011930,신성홀딩스
012200,계양전기
012330,현대모비스
012450,한화에어로스페이스
012600,청호컴넷
012630,HDC
012750,에스원
012990,LG석유화학
013240,셀런
013520,화승알앤에이
013570,디와이
013890,지누스
014440,영보화학
014680,한솔케미칼
