종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2655,-70,-2.57,2705,2745,2630,1014752,2712961320,135629724510,51084642
095570,AJ네트웍스,KOSPI,,4410,0,0.0,4455,4455,4370,59298,261279015,199564667190,45252759
006840,AK홀딩스,KOSPI,,14210,0,0.0,14210,14540,14200,4020,57430190,188247841810,13247561
054620,APS,KOSDAQ,중견기업부,8240,460,5.91,7780,8310,7600,328803,2616384430,163928381040,19894221
265520,AP시스템,KOSDAQ,우량기업부,26850,1250,4.88,25900,27100,25500,252746,6713070450,410306153850,15281421
211270,AP위성,KOSDAQ,벤처기업부,14060,-170,-1.19,14390,14430,14000,88886,1253300720,212057194240,15082304
109960,AP헬스케어,KOSDAQ,중견기업부,655,-7,-1.06,662,664,650,142910,93423692,74769740780,114152276
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551
027410,BGF,KOSPI,,3490,-70,-1.97,3530,3560,3490,84205,295741840,334051600590,95716791
282330,BGF리테일,KOSPI,,106000,-2000,-1.85,107100,108500,105700,36564,3890276700,1832094036000,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4290,25,0.59,4295,4310,4235,65877,282081670,231802749750,54033275
138930,BNK금융지주,KOSPI,,8320,-30,-0.36,8270,8330,8230,536354,4448245200,2679775804160,322088438
001460,BYC,KOSPI,,35550,-300,-0.84,36950,36950,35350,1519,54123200,222050632500,6246150
001465,BYC우,KOSPI,,15800,0,0.0,15880,15880,15790,974,15407450,34030830000,2153850
013720,CBI,KOSDAQ,중견기업부,1247,-18,-1.42,1280,1285,1212,366438,451597984,55651285592,44628136
083790,CG인바이츠,KOSDAQ,벤처기업부,2790,-100,-3.46,2905,2940,2715,247877,700282410,214534767780,76894182
001040,CJ,KOSPI,,122000,700,0.58,119300,122000,119300,83346,10088710000,3559593756000,29176998
079160,CJ CGV,KOSPI,,5600,60,1.08,5540,5610,5510,263045,1462973220,685621188000,122432355
035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,83600,400,0.48,83300,84500,82900,22328,1871308000,1833277274400,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,12720,170,1.35,12480,12720,12460,4569,57225980,115911025440,9112502
00104K,CJ4우(전환),KOSPI,,86800,-100,-0.12,85500,86800,85300,4818,415335200,366861241600,4226512
000120,CJ대한통운,KOSPI,,96000,-1200,-1.23,97200,97300,94900,79214,7557358300,2189985024000,22812344
011150,CJ씨푸드,KOSPI,,5220,-160,-2.97,5340,5520,5190,1890189,10008798530,187558635060,35930773
011155,CJ씨푸드1우,KOSPI,,21700,-200,-0.91,21900,21900,21500,1056,22901150,4340000000,200000
001045,CJ우,KOSPI,,60000,100,0.17,59900,60300,59600,1009,60529100,135613380000,2260223
