종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
060310,3S,KOSDAQ,기계·장비,2865,25,0.88,146357499330
054620,APS,KOSDAQ,금융,6860,240,3.63,136474356060
265520,AP시스템,KOSDAQ,반도체,26000,600,2.36,397316946000
211270,AP위성,KOSDAQ,통신장비,15640,120,0.77,235887234560
109960,AP헬스케어,KOSDAQ,유통,766,6,0.79,87440643416
139050,BF랩스,KOSDAQ,컴퓨터서비스,2805,0,0.0,24247965555
126600,BGF에코머티리얼즈,KOSDAQ,화학,4510,-80,-1.74,243690070250
013720,CBI,KOSDAQ,운송장비·부품,1362,7,0.52,60783521232
083790,CG인바이츠,KOSDAQ,기타서비스,2515,15,0.6,193388867730
035760,CJ ENM,KOSDAQ,방송서비스,85800,-400,-0.46,1881521413200
311690,CJ 바이오사이언스,KOSDAQ,기타서비스,13640,-90,-0.66,124294527280
051500,CJ프레시웨이,KOSDAQ,유통,21350,0,0.0,253458361100
058820,CMG제약,KOSDAQ,제약,2210,130,6.25,306951859240
023460,CNH,KOSDAQ,금융,1720,15,0.88,63984000000
056730,CNT85,KOSDAQ,건설,950,-49,-4.9,70405626700
065770,CS,KOSDAQ,통신장비,1304,27,2.11,25312113520
083660,CSA 코스믹,KOSDAQ,화학,1236,-20,-1.59,75701515716
456440,DB금융스팩11호,KOSDAQ,금융,2250,0,0.0,11958750000
060900,DGP,KOSDAQ,전기·가스·수도,1350,-22,-1.6,34098609150
290120,DH오토리드,KOSDAQ,운송장비·부품,2850,-60,-2.06,44218143300
025440,DH오토웨어,KOSDAQ,일반전기전자,438,3,0.69,67410880560
068790,DMS,KOSDAQ,기계·장비,6660,-40,-0.6,163656586260
241520,DSC인베스트먼트,KOSDAQ,금융,3690,100,2.79,101460701250
180400,DXVX,KOSDAQ,기타서비스,2850,110,4.01,86125381200
245620,EDGC,KOSDAQ,기타서비스,415,0,0.0,57474989665
037370,EG,KOSDAQ,화학,8680,0,0.0,74864756960
050120,ES큐브,KOSDAQ,유통,2300,20,0.88,31197397800
214270,FSN,KOSDAQ,출판·매체복제,2060,0,0.0,68495953780
130500,GH신소재,KOSDAQ,섬유·의류,2855,5,0.18,41526123460
900290,GRT,KOSDAQ,금융,3370,-65,-1.89,227053750000
083450,GST,KOSDAQ,반도체,43550,1050,2.47,405787794750
297890,HB솔루션,KOSDAQ,기계·장비,7000,-90,-1.27,511800226000
440290,HB인베스트먼트,KOSDAQ,금융,2615,-15,-0.57,70884831150
078150,HB테크놀러지,KOSDAQ,기계·장비,2885,-20,-0.69,267485417660
195940,HK이노엔,KOSDAQ,제약,37300,-350,-0.93,1056704934300
028300,HLB,KOSDAQ,제약,59600,0,0.0,7798383694400
278650,HLB바이오스텝,KOSDAQ,기타서비스,2585,-25,-0.96,224198572565
067630,HLB생명과학,KOSDAQ,제약,9300,-10,-0.11,1001161526100
024850,HLB이노베이션,KOSDAQ,반도체,3075,0,0.0,222562519125
047920,HLB제약,KOSDAQ,기타서비스,19920,-280,-1.39,633057480480
115450,HLB테라퓨틱스,KOSDAQ,유통,7340,-180,-2.39,581688672920
046210,HLB파나진,KOSDAQ,의료·정밀기기,3100,-20,-0.64,127145033700
403870,HPSP,KOSDAQ,반도체,39800,-50,-0.13,3300778931200
036640,HRS,KOSDAQ,화학,5620,70,1.26,91913976000
439730,IBKS제20호스팩,KOSDAQ,금융,2490,5,0.2,10731900000
442770,IBKS제21호스팩,KOSDAQ,금융,2465,35,1.44,10377650000
448760,IBKS제22호스팩,KOSDAQ,금융,2380,10,0.42,10543400000
467930,IBKS제23호스팩,KOSDAQ,금융,2195,0,0.0,9284850000
469480,IBKS제24호스팩,KOSDAQ,금융,2185,0,0.0,9242550000
095340,ISC,KOSDAQ,반도체,72000,-100,-0.14,1526188176000
099520,ITX-AI,KOSDAQ,통신장비,1284,0,0.0,58141862016
950170,JTC,KOSDAQ,유통,5250,-80,-1.5,271668327000
067290,JW신약,KOSDAQ,제약,1795,-13,-0.72,91260496090
035900,JYP Ent.,KOSDAQ,오락·문화,58100,-300,-0.51,2064437785200
318000,KBG,KOSDAQ,화학,7420,-30,-0.4,64852454660
024840,KBI메탈,KOSDAQ,금속,2915,-50,-1.69,101760315085
024120,KB오토시스,KOSDAQ,운송장비·부품,4385,-80,-1.79,50427500000
455250,KB제25호스팩,KOSDAQ,금융,2300,15,0.66,9901500000
458320,KB제26호스팩,KOSDAQ,금융,2485,0,0.0,13679925000
464680,KB제27호스팩,KOSDAQ,금융,2000,-5,-0.25,25810000000
476470,KB제28호스팩,KOSDAQ,금융,2095,-5,-0.24,11532975000
021320,KCC건설,KOSDAQ,건설,4530,25,0.55,96942000000
036670,KCI,KOSDAQ,화학,7310,-70,-0.95,82383700000
044180,KD,KOSDAQ,건설,538,-14,-2.54,14374175862
046440,KG모빌리언스,KOSDAQ,소프트웨어,5180,20,0.39,201116442240
151860,KG에코솔루션,KOSDAQ,화학,7870,-100,-1.25,390375625740
035600,KG이니시스,KOSDAQ,소프트웨어,11170,30,0.27,311692527780
226360,KH 건설,KOSDAQ,건설,2555,0,0.0,60698450260
111870,KH 미래물산,KOSDAQ,일반전기전자,8910,0,0.0,43928518590
060720,KH바텍,KOSDAQ,IT부품,14430,-60,-0.41,341665488060
058400,KNN,KOSDAQ,방송서비스,861,9,1.06,114021988920
122450,KX,KOSDAQ,방송서비스,4470,-45,-1.0,202651759080
052900,KX하이텍,KOSDAQ,반도체,1260,17,1.37,69435471420
376190,LB루셈,KOSDAQ,반도체,6210,50,0.81,152766000000
061970,LB세미콘,KOSDAQ,반도체,6840,-90,-1.3,299486609280
309960,LB인베스트먼트,KOSDAQ,금융,4710,5,0.11,109353195690
225190,LK삼양,KOSDAQ,의료·정밀기기,1799,2,0.11,91296443560
060370,LS마린솔루션,KOSDAQ,건설,17090,-1210,-6.61,443284384880
417200,LS머트리얼즈,KOSDAQ,일반전기전자,26950,0,0.0,1823239160050
086960,MDS테크,KOSDAQ,소프트웨어,1728,145,9.16,151496849664
038340,MIT,KOSDAQ,일반전기전자,1233,0,0.0,39979891836
160550,NEW,KOSDAQ,오락·문화,3035,10,0.33,84695031710
053290,NE능률,KOSDAQ,출판·매체복제,4330,0,0.0,71558909310
060250,NHN KCP,KOSDAQ,소프트웨어,9780,-40,-0.41,392770775580
104200,NHN벅스,KOSDAQ,디지털컨텐츠,3875,180,4.87,57456756250
222160,NPX,KOSDAQ,기계·장비,8040,0,0.0,79551289560
024940,PN풍년,KOSDAQ,유통,4640,110,2.43,46400000000
218410,RFHIC,KOSDAQ,일반전기전자,16010,-140,-0.87,424015916420
327260,RF머트리얼즈,KOSDAQ,기타제조,10340,-240,-2.27,87199608540
091340,S&K폴리텍,KOSDAQ,IT부품,2840,20,0.71,33238567640
