종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,209500,-4000,-1.87,20489382.0
196170,알테오젠,276000,-7500,-2.65,14668994.0
86520,에코프로,101300,-1800,-1.75,13486914.0
28300,HLB,60600,2100,3.59,7929229.0
348370,엔켐,279000,-7000,-2.45,5400851.0
58470,리노공업,265000,5000,1.92,4039228.0
68760,셀트리온제약,95200,1700,1.82,3960001.0
214150,클래시스,53800,5750,11.97,3443174.0
403870,HPSP,40250,250,0.63,3338099.0
277810,레인보우로보틱스,166600,1700,1.03,3232016.0
250,삼천당제약,128800,5300,4.29,3021322.0
145020,휴젤,238500,-3500,-1.45,2865313.0
263750,펄어비스,40250,700,1.77,2585976.0
141080,리가켐바이오,67300,500,0.75,2460983.0
78600,대주전자재료,160000,4200,2.7,2476895.0
357780,솔브레인,315000,2000,0.64,2450248.0
39030,이오테크닉스,193000,-100,-0.05,2377673.0
5290,동진쎄미켐,42500,200,0.47,2185116.0
35900,JYP Ent.,57900,-1300,-2.2,2057331.0
41510,에스엠,81400,-1800,-2.16,1920187.0
35760,CJ ENM,85500,1400,1.66,1874943.0
137400,피엔티,80900,2000,2.53,1839763.0
237690,에스티팜,94300,-10500,-10.02,1821689.0
36930,주성엔지니어링,36050,2200,6.5,1739384.0
240810,원익IPS,35150,50,0.14,1725299.0
121600,나노신소재,138600,-2900,-2.05,1690376.0
293490,카카오게임즈,20300,150,0.74,1677706.0
31980,피에스케이홀딩스,77000,2500,3.36,1660304.0
178320,서진시스템,29350,-950,-3.14,1634866.0
36830,솔브레인홀딩스,77000,-11800,-13.29,1614232.0
64760,티씨케이,133200,8500,6.82,1555110.0
95340,ISC,71500,1200,1.71,1515590.0
328130,루닛,51500,0,0.0,1484777.0
281740,레이크머티리얼즈,21950,-550,-2.44,1442786.0
214450,파마리서치,134800,7300,5.73,1403676.0
112040,위메이드,40300,-450,-1.1,1368124.0
214370,케어젠,23900,-300,-1.24,1283789.0
67160,SOOP,111600,1400,1.27,1282816.0
34230,파라다이스,13990,-40,-0.29,1283885.0
253450,스튜디오드래곤,41950,-350,-0.83,1260954.0
39200,오스코텍,33400,-1050,-3.05,1268998.0
140410,메지온,42000,-50,-0.12,1249694.0
140860,파크시스템스,173400,-2300,-1.31,1209614.0
84370,유진테크,51600,1600,3.2,1182468.0
67310,하나마이크론,22400,-250,-1.1,1168596.0
393890,더블유씨피,33200,-1250,-3.63,1118724.0
