종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,75700,2200,2.99,451912539.0
660,SK하이닉스,194200,5000,2.64,141378059.0
5380,현대차,265000,12000,4.74,55495291.0
207940,삼성바이오로직스,752000,22000,3.01,53522848.0
270,기아,120700,3000,2.55,48262911.0
68270,셀트리온,179000,2800,1.59,38841787.0
105560,KB금융,79300,-100,-0.13,31998428.0
5490,POSCO홀딩스,374000,5000,1.36,31629640.0
35420,NAVER,172700,2500,1.47,28047964.0
6400,삼성SDI,377000,2500,0.67,25924228.0
51910,LG화학,357500,6000,1.71,25236763.0
28260,삼성물산,138700,3600,2.66,24658656.0
55550,신한지주,47000,-150,-0.32,23941481.0
12330,현대모비스,220000,5500,2.56,20604121.0
3670,포스코퓨처엠,255000,4500,1.8,19753121.0
35720,카카오,44300,1000,2.31,19639350.0
247540,에코프로비엠,188000,-3300,-1.73,18386653.0
86790,하나금융지주,62700,1000,1.62,18330759.0
32830,삼성생명,85300,1000,1.19,17060000.0
810,삼성화재,357000,8500,2.44,16912817.0
66570,LG전자,103100,-1700,-1.62,16872090.0
138040,메리츠금융지주,76400,-500,-0.65,14571017.0
42700,한미반도체,146700,-15000,-9.28,14228966.0
34020,두산에너빌리티,20750,-50,-0.24,13291644.0
11200,HMM,19130,1130,6.28,13181326.0
34730,SK,178800,2600,1.48,13087861.0
15760,한국전력,20300,850,4.37,13031871.0
3550,LG,81700,400,0.49,12851491.0
86520,에코프로,93300,-1100,-1.17,12421807.0
18260,삼성에스디에스,158800,5600,3.66,12287595.0
9150,삼성전기,159100,4100,2.65,11883767.0
259960,크래프톤,247500,-2500,-1.0,11970559.0
329180,HD현대중공업,131800,3100,2.41,11700297.0
12450,한화에어로스페이스,223000,18000,8.78,11290490.0
33780,KT&G,84800,1300,1.56,11051348.0
17670,SK텔레콤,51500,500,0.98,11061688.0
24110,기업은행,13600,-160,-1.16,10844992.0
90430,아모레퍼시픽,187200,-7000,-3.6,10949844.0
323410,카카오뱅크,22500,250,1.12,10730726.0
267260,HD현대일렉트릭,291000,-10000,-3.32,10489716.0
316140,우리금융지주,14250,80,0.56,10581929.0
10130,고려아연,498000,-29000,-5.5,10412477.0
196170,알테오젠,199000,13100,7.05,10576557.0
402340,SK스퀘어,78200,600,0.77,10537447.0
96770,SK이노베이션,106300,6300,6.3,10176693.0
30200,KT,37250,650,1.78,9579396.0
9540,HD한국조선해양,132800,2400,1.84,9398670.0
42660,한화오션,31100,1400,4.71,9527762.0
47050,포스코인터내셔널,51200,8150,18.93,9007247.0
10140,삼성중공업,9600,440,4.8,8448000.0
352820,하이브,200500,500,0.25,8351245.0
10950,S-Oil,70000,1800,2.64,7880795.0
3490,대한항공,21450,600,2.88,7898333.0
5830,DB손해보험,105400,1900,1.84,7462320.0
28300,HLB,57300,-3900,-6.37,7497439.0
86280,현대글로비스,188100,8600,4.79,7053750.0
326030,SK바이오팜,85800,400,0.47,6719277.0
51900,LG생활건강,424500,7000,1.68,6629925.0
10120,LS ELECTRIC,213000,-500,-0.23,6390000.0
100,유한양행,75000,6200,9.01,6015680.0
11070,LG이노텍,249000,1000,0.4,5893110.0
348370,엔켐,295000,1500,0.51,5710578.0
241560,두산밥캣,56600,-1100,-1.91,5674103.0
66970,엘앤에프,151800,-4600,-2.94,5509541.0
161390,한국타이어앤테크놀로지,44100,250,0.57,5462891.0
22100,포스코DX,35650,300,0.85,5420038.0
6260,LS,169800,-300,-0.18,5467560.0
11790,SKC,145700,6500,4.67,5517411.0
267250,HD현대,69900,1200,1.75,5521617.0
97950,CJ제일제당,351500,2000,0.57,5291546.0
34220,LG디스플레이,10330,400,4.03,5165000.0
9830,한화솔루션,30850,-600,-1.91,5302885.0
251270,넷마블,60500,300,0.5,5200187.0
5070,코스모신소재,152900,-2100,-1.35,4970895.0
47810,한국항공우주,52700,900,1.74,5136938.0
1570,금양,81600,-1700,-2.04,4736883.0
29780,삼성카드,40000,-500,-1.23,4634356.0
28050,삼성E&A,23950,550,2.35,4694200.0
11170,롯데케미칼,109900,-3200,-2.83,4701019.0
6800,미래에셋증권,7290,80,1.11,4339857.0
3230,삼양식품,587000,58000,10.96,4421880.0
180640,한진칼,63900,200,0.31,4266110.0
377300,카카오페이,30900,-100,-0.32,4156929.0
36570,엔씨소프트,194500,4200,2.21,4270057.0
21240,코웨이,56500,100,0.18,4169678.0
32640,LG유플러스,9750,100,1.04,4256961.0
58470,리노공업,272000,4000,1.49,4145925.0
64350,현대로템,36550,600,1.67,3989151.0
78930,GS,44450,850,1.95,4130089.0
298040,효성중공업,427000,-15000,-3.39,3981582.0
11780,금호석유,148300,900,0.61,4103858.0
307950,현대오토에버,150100,2100,1.42,4116340.0
4020,현대제철,30250,600,2.02,4036735.0
5940,NH투자증권,12220,-60,-0.49,4001956.0
